var name, type , #
Morph>>hasOwner:>>2>>arg>>m,StandardWindow,5,TransformMorph,1,ErrorDialogWindow,1,QuestionWithoutCancelDialogWindow,1,ChooseDropListDialogWindow,1,DenyDialogWindow,1,TextEntryDialogWindow,45,GLMMorphBrick,1,GLMSystemWindow,1,GLMFoundationBrick,1,Morph,17,MessageDialogWindow,1,PlainGroupboxMorph,25,RubScrolledTextMorph,1,PluggableTextFieldMorph,9,PanelMorph,132,QuestionDialogWindow,47,PluggableDialogWindow,45,AlignmentMorph,6,TransformWithLayoutMorph,1,RubTextScrollPane,1,SystemWindow,12,GLMPagerBrick,1,GLMScrollPaneBandBrick,1,PluggableButtonMorph,4,ToolDockingBarMorph,1,FreeTypeFontSelectorDialogWindow,1,LazyTabGroupMorph,1,AlertDialogWindow,1,ProceedDialogWindow,1,GLMPagerScrollBrick,1,WorldMorph,152,ColorSelectorDialogWindow,1,FileDialogWindow,1
MouseEvent>>buttons,SmallInteger,69840
Morph>>attachKeymapCategory:>>arg>>aCategory,ByteSymbol,9386
Morph>>layoutInBounds:>>temp>>box,Rectangle,47056
HandMorph>>fullDrawOn:>>5>>arg>>m,QuestionDialogWindow,2,PluggableDialogWindow,25,TextEntryDialogWindow,7
Morph>>removeAlarm:>>arg>>aSelector,ByteSymbol,143
DamageRecorder>>recordInvalidRect:>>temp>>zeroRect,Rectangle,10287
Morph>>listCentering:>>arg>>aSymbol,ByteSymbol,1083
WorldState>>triggerAlarmsBefore:>>temp>>pending,Heap,67938
WorldState>>drawWorld:submorphs:invalidAreasOn:>>3>>temp>>remnantIntersects,OrderedCollection,1502
WorldState>>addAlarm:withArguments:for:at:>>arg>>aSelector,ByteSymbol,7
Morph>>startStepping:at:arguments:stepTime:>>arg>>scheduledTime,SmallInteger,6
WorldMorph>>startStepping:at:selector:arguments:stepTime:>>arg>>aSelector,ByteSymbol,26
Morph>>borderWidth:>>temp>>style,SimpleBorder,18,BorderStyle,24654
Morph>>hResizing:>>arg>>aSymbol,ByteSymbol,59597
MouseOverHandler>>processMouseOver:>>arg>>anEvent,MouseButtonEvent,30,MouseWheelEvent,4,MouseMoveEvent,558,MouseEvent,69248
MouseOverHandler>>informMouseLeaveToLeftMorphsUsing:>>temp>>asMouseLeaveEvent,MouseButtonEvent,21,MouseMoveEvent,81,MouseEvent,65
HandMorph>>balloonHelp:>>1>>arg>>oldHelp,SimpleBalloonMorph,1
PasteUpMorph>>becomeActiveDuring:>>arg>>aBlock,BlockClosure,3870
Morph>>privateAddMorph:atIndex:>>temp>>itsWorld,WorldMorph,8,UndefinedObject,52
Morph>>keyUp:>>arg>>anEvent,KeyboardEvent,28
Morph>>extent:>>temp>>newExtent,Point,570390
Morph>>drawSubmorphsOn:>>2>>arg>>canvas,FormCanvas,10496
HandMorph>>showTemporaryCursor:hotSpotOffset:>>arg>>hotSpotOffset,Point,15
Morph>>adoptPaneColor:>>arg>>paneColor,Color,9514
Morph>>cellSpacing:>>arg>>aSymbol,ByteSymbol,37631
MorphicEventDispatcher>>dispatchMouseDown:with:>>arg>>anEvent,MouseButtonEvent,192
Morph>>enabled:>>arg>>aBoolean,True,179
Morph>>layoutProperties:>>arg>>newProperties,TableLayoutProperties,70033,LayoutProperties,11771
WorldState>>stopStepping:selector:>>arg>>aSelector,ByteSymbol,39
Morph>>rejectDropEvent:>>arg>>anEvent,DropEvent,7
HandMorph>>fullDrawOn:>>12>>arg>>shadowCanvas,ShadowDrawingCanvas,68
Morph>>dropEnabled:>>arg>>aBool,False,2
MorphExtension>>locked:>>arg>>aBoolean,True,2667,False,898
Morph>>clearArea>>temp>>visTop,SmallInteger,77
WorldState>>adjustWakeupTimes:>>1>>arg>>entry,StepMessage,18
HandMorph>>generateKeyboardEvent:>>temp>>keyValue,SmallInteger,95
Morph>>handlesMouseWheel:>>arg>>evt,MouseWheelEvent,16
Morph>>cellPositioning>>temp>>props,TableLayoutProperties,13330,UndefinedObject,2,LayoutProperties,60
