var name, type , #
MooseEntity>>gtDisplayOn:>>arg>>aStream,LimitedWriteStream,12
FAMIXSourcedEntity>>sourceAnchor:>>arg>>aSourceAnchor,FAMIXFileAnchor,53817
FAMIXType>>isJUnit4TestCase>>1>>arg>>m,FAMIXMethod,36808
FAMIXSourcedEntity>>sourceAnchor,FAMIXFileAnchor,53817
FAMIXNamedEntity>>isAnnotatedWith:>>arg>>anAnnotationName,ByteString,99876
FAMIXBehaviouralEntity>>queryLocal:with:>>2>>arg>>p,FM3PropertyDescription,46553
FAMIXAnnotationInstanceAttribute>>value:>>arg>>anObject,ByteString,84
FAMIXSourceLanguage>>sourcedEntities,FMNullMultivalueLink,1
FAMIXAnnotationInstance>>privateQuery:with:>>arg>>aFAMIXClassAssociation,FAMIXAccess class,4040,FAMIXInheritance class,4040,FAMIXReference class,4040,FAMIXInvocation class,6661
MooseEntity>>privateSetMooseModel:>>arg>>aMooseModel,MooseModel,278302
FAMIXAnnotationInstanceAttribute>>value,ByteString,84
FAMIXReference>>source:>>arg>>aContainerEntity,FAMIXMethod,7989
FAMIXAnnotationInstanceAttribute>>parentAnnotationInstance,FAMIXAnnotationInstance,84,UndefinedObject,84
FAMIXAttribute>>hasClassScope:>>arg>>aBoolean,True,2487
FAMIXType>>privateQuery:with:>>temp>>aTmpColl,Set,68533
FAMIXBehaviouralEntity>>privateQuery:with:>>temp>>aTmpColl2,MooseIncomingQueryResult,177437
FAMIXType>>superInheritances,FMNullMultivalueLink,9110
FAMIXNamedEntity>>incomingAssociationTypes>>1>>arg>>d,FM3PropertyDescription,633128
MooseEntity>>lookUpPropertyNamed:computedAs:>>arg>>selector,ByteSymbol,60681
FAMIXAssociation>>next:>>arg>>anAssociation,FAMIXInvocation,72940,FAMIXAccess,21963,FAMIXInheritance,1235
FAMIXType>>privateQuery:with:>>temp>>aTmpColl2,MooseIncomingQueryResult,68533
FAMIXNamedEntity>>modifiers:>>arg>>aSet,OrderedCollection,26738
FAMIXType>>queryLocal:with:>>2>>arg>>p,FM3PropertyDescription,50946
FAMIXType>>container:>>arg>>aContainerEntity,FAMIXNamespace,3109,FAMIXParameterizableClass,45,FAMIXMethod,5153,FAMIXClass,789,FAMIXEnum,1
FAMIXType>>query:with:>>temp>>coll,Set,19096
FAMIXType>>privateQuery:with:>>arg>>anInOutSymbol,ByteSymbol,68533
MooseEntity>>gtInspectorPresentationsIn:inContext:>>1>>arg>>x,Pragma,13
FAMIXType>>subInheritances,FMNullMultivalueLink,9110
FAMIXImplicitVariable>>printOn:>>temp>>parent,FAMIXMethod,22
FAMIXNamedEntity>>queryLocal:with:>>temp>>m2,ByteString,318625
FAMIXBehaviouralEntity>>privateQuery:with:>>arg>>anInOutSymbol,ByteSymbol,177437
FAMIXAttribute>>parentType:>>arg>>aType,FAMIXClass,5783,FAMIXAnnotationType,1,FAMIXEnum,6,FAMIXParameterizableClass,17
FAMIXAttribute>>hasClassScope,True,2487,False,5807
FAMIXNamedEntity>>creatingDirectionSymbol:>>temp>>directionSymbol,ByteString,318625
FAMIXAnnotationInstanceAttribute>>creatingDirectionSymbol:>>arg>>anInOutSymbol,ByteSymbol,922
FAMIXBehaviouralEntity>>query:with:>>arg>>aFAMIXClassAssociation,FAMIXInvocation class,2312
FAMIXAccess>>isWrite,True,4467,UndefinedObject,30192
FAMIXNamedEntity>>parentPackage,UndefinedObject,73593
FAMIXAssociation>>previous:>>arg>>anAssociation,FAMIXInvocation,72940,FAMIXAccess,21963,FAMIXInheritance,1235
FAMIXInheritance>>superclass:>>arg>>aType,FAMIXClass,4003,FAMIXParameterizedType,111,FAMIXParameterizableClass,30
FAMIXAssociation>>previous,FAMIXInvocation,72940,FAMIXAccess,21963,FAMIXInheritance,1235
FAMIXNamedEntity>>modifiers,OrderedCollection,26738,Set,73593
FAMIXLocalVariable>>printOn:>>temp>>parent,FAMIXMethod,66
FAMIXAnnotationInstance>>attributes,FMNullMultivalueLink,1947
FAMIXAnnotationType>>attributes,FMNullMultivalueLink,4
FAMIXParameter>>mooseNameOn:>>temp>>parent,FAMIXMethod,35218
MooseEntity>>mooseFinderNavigationIn:>>arg>>composite,GLMCompositePresentation,1
FAMIXType>>queryLocal:with:>>temp>>direction,ByteString,68533
MooseEntity>>gtInspectorPresentationsIn:inContext:>>1>>arg>>y,Pragma,13
FAMIXNamedEntity>>queryLocal:with:>>temp>>m3,ByteString,318625
FAMIXBehaviouralEntity>>outgoingReferences,FMNullMultivalueLink,25409
FAMIXAnnotationInstanceAttribute>>privateQuery:with:>>arg>>aFAMIXClassAssociation,FAMIXAccess class,164,FAMIXInheritance class,164,FAMIXReference class,164,FAMIXInvocation class,430
FAMIXNamedEntity>>moosechefEqualsTo:moduloScope:>>arg>>aScope,ByteSymbol,19368
FAMIXAnnotationInstanceAttribute>>queryLocal:with:>>temp>>m1,ByteString,922
FAMIXAnnotationInstance>>queryLocal:with:>>arg>>anInOutSymbol,ByteSymbol,18781
FAMIXAnnotationInstance>>creatingDirectionSymbol:>>temp>>directionSymbol,ByteString,18781
FAMIXLocalVariable>>mooseNameOn:>>arg>>stream,WriteStream,25262
FAMIXMethod>>kind:>>arg>>aSymbol,ByteString,3070
FAMIXAnnotationInstance>>privateQuery:with:>>temp>>aTmpColl,Set,18781
FAMIXAnnotationInstance>>queryLocal:with:>>temp>>m1,ByteString,18781
FAMIXType>>allSuperclassesWithoutAliasesDo:>>1>>arg>>each,FAMIXInheritance,58212
FAMIXNamedEntity>>moosechefEqualsTo:moduloScope:>>temp>>myselfRescoped,FAMIXClass,19186,FAMIXParameterizableClass,182
FAMIXBehaviouralEntity>>accesses,FMNullMultivalueLink,25409
FAMIXNamedEntity>>receivingInvocations,FMNullMultivalueLink,73593
FAMIXAttribute>>printOn:>>arg>>aStream,LimitedWriteStream,43
FAMIXMethod>>parentType,UndefinedObject,25409,FAMIXParameterizedType,29,FAMIXParameterizableClass,381,FAMIXClass,24984,FAMIXEnum,14,FAMIXType,1
FAMIXImplicitVariable>>parentBehaviouralEntity:>>arg>>aBehaviouralEntity,FAMIXMethod,2696
MooseEntity>>propertyNamed:ifNil:>>temp>>prop,ByteSymbol,108
FAMIXParameter>>printOn:>>arg>>stream,LimitedWriteStream,145
FAMIXBehaviouralEntity>>declaredType,UndefinedObject,25409,FAMIXParameterizedType,520,FAMIXParameterizableClass,976,FAMIXPrimitiveType,9903,FAMIXClass,5509,FAMIXEnum,13,FAMIXParameterType,53,FAMIXType,741
FAMIXNamedEntity>>privateQuery:with:>>2>>arg>>aChild,FAMIXAnnotationInstance,206
FAMIXNamedEntity>>moosechefEqualsTo:moduloScope:>>arg>>anEntity,FAMIXClass,19336,FAMIXParameterizedType,6,FAMIXEnum,6,FAMIXParameterizableClass,20
FAMIXBehaviouralEntity>>implicitVariables,FMNullMultivalueLink,25409
FAMIXAnnotationInstance>>annotationType,FAMIXAnnotationType,1947,UndefinedObject,1947
FAMIXAnnotationInstanceAttribute>>privateQuery:with:>>temp>>aTmpColl2,MooseIncomingQueryResult,922
FAMIXImplicitVariable>>printOn:>>arg>>aStream,LimitedWriteStream,22
FAMIXAnnotationInstanceAttribute>>queryLocal:with:>>temp>>m2,ByteString,922
FAMIXStructuralEntity>>declaredType:>>arg>>aType,FAMIXParameterizedType,1323,FAMIXParameterizableClass,2357,FAMIXPrimitiveType,4397,FAMIXClass,24986,FAMIXEnum,29,FAMIXParameterType,24,FAMIXType,2930
FAMIXNamedEntity>>mooseNameOn:>>arg>>stream,WriteStream,276
FAMIXLocalVariable>>mooseNameOn:>>temp>>parent,FAMIXMethod,25262
FAMIXAttribute>>mooseNameOn:>>arg>>aStream,WriteStream,11613
FAMIXMethod>>parentType:>>arg>>aType,FAMIXParameterizedType,29,FAMIXParameterizableClass,381,FAMIXClass,24984,FAMIXEnum,14,FAMIXType,1
FAMIXBehaviouralEntity>>queryLocal:with:>>temp>>m1,ByteString,177437
FAMIXAnnotationInstance>>queryLocal:with:>>temp>>m2,ByteString,18781
FAMIXType>>withSuperclassesDo:>>arg>>aBlock,BlockClosure,870
FAMIXType>>attributes,FMNullMultivalueLink,9110
FAMIXNamedEntity>>isStub:>>arg>>aBoolean,True,13434
FAMIXType>>mooseNameOn:>>temp>>parent,FAMIXNamespace,1473872,UndefinedObject,18,FAMIXParameterizableClass,212,FAMIXMethod,91668,FAMIXClass,95463,FAMIXEnum,2
FAMIXNamedEntity>>moosechefEqualsTo:moduloScope:>>temp>>entityRescoped,FAMIXClass,19336,FAMIXParameterizedType,6,FAMIXEnum,6,FAMIXParameterizableClass,20
FAMIXType>>behavioursWithDeclaredType,FMNullMultivalueLink,9110
FAMIXType>>createIncomingQueryResultWith:>>arg>>aCollection,Array,87629
FAMIXBehaviouralEntity>>privateQuery:with:>>2>>arg>>aChild,FAMIXParameter,139859,FAMIXType,19494,FAMIXLocalVariable,107604,FAMIXClass,23519,FAMIXAnnotationInstance,18167,FAMIXImplicitVariable,26130
FAMIXAnnotationInstanceAttribute>>queryLocal:with:>>temp>>direction,ByteString,922
FAMIXStructuralEntity>>declaredType,UndefinedObject,38881,FAMIXParameterizedType,1323,FAMIXParameterizableClass,2357,FAMIXPrimitiveType,4397,FAMIXClass,24986,FAMIXEnum,29,FAMIXParameterType,24,FAMIXType,2930
FAMIXAssociation>>previous:>>1>>temp>>old,UndefinedObject,96138
FAMIXAnnotationInstance>>mooseNameOn:>>arg>>aStream,WriteStream,9
FAMIXInheritance>>superclass,FAMIXClass,4003,FAMIXParameterizedType,111,UndefinedObject,4144,FAMIXParameterizableClass,30
FAMIXContainerEntity>>classes>>2>>arg>>type,FAMIXParameterizedType,588,FAMIXParameterizableClass,59,FAMIXClass,2446,FAMIXEnum,5,FAMIXType,11
